PlotName,Elev,NDVI,SampleID,N,P,K,Mg,Ca,C,Site,TrapName,PlotID,Species,Qty_C,Qty_N,Qty_P,Molar_C,Molar_N,Molar_P,CNRatio,CPRatio,NPRatio
Bloomfield+F5,78,0.814566672,BL_F5_ABBA,0.63,0.125,0.39,0.11,0.52,51.52,BL,F5,BL+F5,ABBA,0.003394838,4.15E-05,8.24E-06,0.000282651,2.96E-06,2.66E-07,95.36803017,1062.897728,11.14522054
Bloomfield+J1,76,0.769999981,BL_J1_ABBA,0.99,0.125,0.47,0.08,0.97,51.53,BL,J1,BL+J1,ABBA,0.056469707,0.001084902,0.000136983,0.004701617,7.75E-05,4.42E-06,60.70052612,1063.104036,17.51391798
Dunphys Pond+A1,45,0.815466642,DP_A1_ABBA,1.3,0.13,0.99,0.09,0.34,51.43,DP,A1,DP+A1,ABBA,0.016136387,0.000407881,4.08E-05,0.001343501,2.91E-05,1.32E-06,46.13607873,1020.231691,22.11353281
Dunphys Pond+A11,46,0.810400009,DP_A11_ABBA,0.88,0.054,0.54,0.08,0.53,52.17,DP,A11,DP+A11,ABBA,0.063498977,0.001071096,6.57E-05,0.005286867,7.65E-05,2.12E-06,69.13622654,2491.453089,36.03686828
Dunphys Pond+A13,50,0.812266648,DP_A13_ABBA,1.21,0.109,0.88,0.09,0.34,51.2,DP,A13,DP+A13,ABBA,0.251915293,0.005953467,0.000536304,0.020974239,0.000425044,1.73E-05,49.34601633,1211.348485,24.54805018
Dunphys Pond+A3,47,0.83859998,DP_A3_ABBA,0.74,0.044,0.33,0.12,0.58,52.32,DP,A3,DP+A3,ABBA,0.740249012,0.010469883,0.000622534,0.061632462,0.000747491,2.01E-05,82.45244207,3066.483953,37.19094154
Dunphys Pond+A5,50,0.820533335,DP_A5_ABBA ,0.75,0.056,0.38,0.1,0.6,52.71,DP,A5,DP+A5,ABBA,0.027873972,0.000396613,2.96E-05,0.002320762,2.83E-05,9.56E-07,81.95949245,2427.340079,29.61633858
Dunphys Pond+A7,49,0.79096669,DP_A7_ABBA ,1.18,0.057,0.55,0.09,0.51,52.24,DP,A7,DP+A7,ABBA,0.001466933,3.31E-05,1.60E-06,0.000122136,2.37E-06,5.17E-08,51.62840027,2363.490985,45.77889248
Dunphys Pond+C10,55,0.81766665,DP_C10_ABBA,1.07,0.074,0.74,0.08,0.45,50.98,DP,C10,DP+C10,ABBA,0.028071356,0.000589179,4.07E-05,0.002337196,4.21E-05,1.32E-06,55.56272806,1776.616736,31.97497312
Dunphys Pond+C14,59,0.814499974,DP_C14_ABBA,0.94,0.085,0.66,0.08,0.37,51.68,DP,C14,DP+C14,ABBA,0.038176434,0.000694386,6.28E-05,0.003178535,4.96E-05,2.03E-06,64.11537089,1567.939196,24.45496569
Dunphys Pond+C2,51,0.82553333,DP_C2_ABBA ,0.73,0.075,0.34,0.1,0.63,52.2,DP,C2,DP+C2,ABBA,1.423502879,0.019907224,0.002045263,0.11851956,0.001421264,6.60E-05,83.39022591,1794.877763,21.5238386
Dunphys Pond+C4,54,0.84133333,DP_C4_ABBA,1.04,0.085,0.75,0.08,0.29,51.36,DP,C4,DP+C4,ABBA,0.847488932,0.017160991,0.001402581,0.070561161,0.001225199,4.53E-05,57.59160518,1558.230594,27.05655779
Dunphys Pond+C6,56,0.823599994,DP_C6_ABBA,0.91,0.052,0.49,0.1,0.72,52.6,DP,C6,DP+C6,ABBA,0.043552475,0.000753474,4.31E-05,0.00362614,5.38E-05,1.39E-06,67.40806481,2608.603292,38.69868242
Dunphys Pond+E1,58,0.815699995,DP_E1_ABBA,0.73,0.085,0.39,0.09,0.64,52.66,DP,E1,DP+E1,ABBA,0.003650269,5.06E-05,5.89E-06,0.000303918,3.61E-06,1.90E-07,84.1250823,1597.671789,18.9916223
Dunphys Pond+F1,61,0.828433335,DP_F1_ABBA,0.72,0.072,0.53,0.07,0.45,51.93,DP,F1,DP+F1,ABBA,0.386729703,0.005361937,0.000536194,0.032198765,0.000382812,1.73E-05,84.11110406,1859.993659,22.11353281
Dunphys Pond+F11,68,0.827033341,DP_F11_ABBA,0.85,0.06,0.48,0.14,0.34,52.6,DP,F11,DP+F11,ABBA,0.041007376,0.000662667,4.68E-05,0.003414237,4.73E-05,1.51E-06,72.16628114,2260.78952,31.32750481
Dunphys Pond+F13,72,0.797733307,DP_F13_ABBA,0.75,0.069,0.58,0.09,0.48,52.59,DP,F13,DP+F13,ABBA,0.114851012,0.001637921,0.000150689,0.009562391,0.000116938,4.87E-06,81.77290283,1965.530184,24.03644871
Dunphys Pond+F3,65,0.845499992,DP_F3_ABBA ,0.76,0.042,0.37,0.09,0.72,52.62,DP,F3,DP+F3,ABBA,0.857222255,0.012381013,0.000684214,0.071371548,0.000883935,2.21E-05,80.7429772,3230.927337,40.01496413
Dunphys Pond+F5,66,0.837633312,DP_F5_ABBA ,0.77,0.044,0.41,0.08,0.65,52.33,DP,F5,DP+F5,ABBA,0.081146416,0.001194014,6.82E-05,0.006756177,8.52E-05,2.20E-06,79.25515452,3067.070055,38.69868242
Dunphys Pond+F7,67,0.860966682,DP_F7_ABBA ,0.77,0.04,0.45,0.06,0.65,52.32,DP,F7,DP+F7,ABBA,0.033439242,0.00049213,2.56E-05,0.002784121,3.51E-05,8.25E-07,79.24000926,3373.132348,42.56855066
Dunphys Pond+I10,81,0.830966651,DP_I10_ABBA ,1,0.059,0.48,0.09,0.56,52.51,DP,I10,DP+I10,ABBA,0.08023854,0.001528062,9.02E-05,0.006680588,0.000109095,2.91E-06,61.23638231,2295.174151,37.48056408
Dunphys Pond+I12,79,0.81613332,DP_I12_ABBA ,0.8,0.061,0.42,0.12,0.46,52.14,DP,I12,DP+I12,ABBA,0.001869226,2.87E-05,2.19E-06,0.00015563,2.05E-06,7.06E-08,76.00611725,2204.280351,29.0013545
Dunphys Pond+I14,84,0.794766665,DP_I14_ABBA ,0.74,0.063,0.52,0.1,0.44,52.62,DP,I14,DP+I14,ABBA,0.508886562,0.007156519,0.000609271,0.042369434,0.000510935,1.97E-05,82.92521983,2153.951558,25.97462584
Dunphys Pond+I2,73,0.850333333,DP_I2_ABBA,0.99,0.068,0.47,0.11,0.64,52.96,DP,I2,DP+I2,ABBA,9.51876141,0.177937572,0.012221975,0.792523451,0.012703747,0.000394591,62.38501579,2008.467004,32.19470218
Dunphys Pond+I4,76,0.875466645,DP_I4_ABBA,0.81,0.086,0.48,0.09,0.43,52.41,DP,I4,DP+I4,ABBA,0.240485135,0.003716714,0.000394614,0.020022574,0.000265353,1.27E-05,75.45649851,1571.59756,20.8278623
Dunphys Pond+I6,78,0.882333338,DP_I6_ABBA,1.04,0.08,0.57,0.08,0.5,52.4,DP,I6,DP+I6,ABBA,0.36706064,0.007285173,0.000560398,0.030561136,0.000520121,1.81E-05,58.75779033,1689.145022,28.74759265
Dunphys Pond+I8,78,0.873666644,DP_I8_ABBA,1.22,0.14,0.72,0.13,0.59,52.5,DP,I8,DP+I8,ABBA,0.005160831,0.000119928,1.38E-05,0.000429686,8.56E-06,4.44E-07,50.1841971,967.0677604,19.27036431
Dunphys Pond+K1,80,0.847666681,DP_K1_ABBA,0.83,0.058,0.36,0.1,0.44,52.84,DP,K1,DP+K1,ABBA,1.082765946,0.017007868,0.001188502,0.090150112,0.001214267,3.84E-05,74.24243784,2349.418872,31.64522799
Dunphys Pond+L10,93,0.791366696,DP_L10_ABBA,0.82,0.155,0.47,0.11,0.69,52,DP,L10,DP+L10,ABBA,0.015736541,0.000248153,4.69E-05,0.00131021,1.77E-05,1.51E-06,73.95320473,865.1616953,11.6987722
Dunphys Pond+L12,93,0.775600016,DP_L12_ABBA,0.85,0.14,0.67,0.08,0.56,52.31,DP,L12,DP+L12,ABBA,0.089786832,0.001458972,0.000240301,0.00747557,0.000104162,7.76E-06,71.76840621,963.5678961,13.42607349
Dunphys Pond+L14,93,0.779333353,DP_L14_ABBA,0.84,0.128,0.58,0.11,0.64,52.22,DP,L14,DP+L14,ABBA,0.031488116,0.000506511,7.72E-05,0.002621672,3.62E-05,2.49E-06,72.49784359,1052.089134,14.51200591
Dunphys Pond+L2,84,0.841666639,DP_L2_ABBA,0.93,0.07,0.48,0.11,0.43,52.4,DP,L2,DP+L2,ABBA,5.060632192,0.089816564,0.006760387,0.421343651,0.0064124,0.000218262,65.7076365,1930.451453,29.37940788
Dunphys Pond+L4,85,0.859099984,DP_L4_ABBA,0.84,0.068,0.44,0.11,0.62,52.13,DP,L4,DP+L4,ABBA,2.443112242,0.039367241,0.003186872,0.203411312,0.002810601,0.000102889,72.37289518,1976.989896,27.316717
Dunphys Pond+L6,90,0.833333313,DP_L6_ABBA ,0.89,0.095,0.45,0.11,0.69,52.55,DP,L6,DP+L6,ABBA,0.351267627,0.005949157,0.000635022,0.029246224,0.000424737,2.05E-05,68.85733676,1426.509777,20.71688863
Dunphys Pond+L8,91,0.833266675,DP_L8_ABBA ,0.9,0.082,0.4,0.09,0.79,52.28,DP,L8,DP+L8,ABBA,2.465873456,0.042450002,0.003867667,0.20530639,0.003030693,0.000124869,67.74239969,1644.172439,24.27095064
Dunphys Pond+N1,87,0.861800015,DP_N1_ABBA,0.99,0.139,0.74,0.1,0.47,52.13,DP,N1,DP+N1,ABBA,0.581595293,0.011045067,0.001550772,0.048423097,0.000788556,5.01E-05,61.407305,967.1605247,15.74992625
Dunphys Pond+N11,96,0.641600013,DP_N11_ABBA,0.86,0.127,0.58,0.11,0.5,51.92,DP,N11,DP+N11,ABBA,0.429055236,0.007106847,0.0010495,0.03572275,0.000507389,3.39E-05,70.40503845,1054.281535,14.97451828
Dunphys Pond+N13,95,0.700733304,DP_N13_ABBA,0.76,0.15,0.53,0.11,0.54,52.26,DP,N13,DP+N13,ABBA,0.075079927,0.001091863,0.000215499,0.006251087,7.80E-05,6.96E-06,80.19057371,898.4704206,11.20418996
Dunphys Pond+N3,89,0.827300012,DP_N3_ABBA,0.79,0.105,0.54,0.09,0.47,52.84,DP,N3,DP+N3,ABBA,4.642337835,0.069406641,0.009224933,0.386516842,0.004955246,0.000297831,78.00154862,1297.774234,16.63780088
Dunphys Pond+N5,92,0.751100004,DP_N5_ABBA ,0.76,0.051,0.42,0.08,0.43,51.88,DP,N5,DP+N5,ABBA,0.133977643,0.001962664,0.000131705,0.011154857,0.000140123,4.25E-06,79.60748114,2623.345119,32.95349987
Dunphys Pond+N7,94,0.758166671,DP_N7_ABBA,0.59,0.048,0.34,0.08,0.69,52,DP,N7,DP+N7,ABBA,0.538135139,0.006105764,0.00049674,0.044804644,0.000435917,1.60E-05,102.7824201,2793.751308,27.18121741
Dunphys Pond+N9,95,0.840466678,DP_N9_ABBA,0.94,0.098,0.58,0.1,0.48,52.2,DP,N9,DP+N9,ABBA,1.241297076,0.022352859,0.002330404,0.10334927,0.001595869,7.52E-05,64.76049459,1373.630941,21.21093963
TNNP North+A11,67,0.774033308,TN_A11_ABBA ,0.87,0.077,0.42,0.09,0.98,51.56,TN,A11,TN+A11,ABBA,0.063744134,0.00107559,9.52E-05,0.005307279,7.68E-05,3.07E-06,69.11322576,1726.822986,24.98542019
TNNP North+A13,75,0.791899979,TN_A13_ABBA,0.86,0.053,0.55,0.08,0.64,52.62,TN,A13,TN+A13,ABBA,0.004909165,8.02E-05,4.94E-06,0.000408733,5.73E-06,1.60E-07,71.35425893,2560.357512,35.88233626
TNNP North+A7,52,0.651933312,TN_A7_ABBA ,0.92,0.063,0.61,0.08,0.7,52.06,TN,A7,TN+A7,ABBA,0.210020118,0.003711458,0.000254154,0.017486085,0.000264977,8.21E-06,65.99086847,2131.02847,32.29277807
TNNP North+C10,64,0.664900005,TN_C10_ABBA ,0.98,0.136,0.7,0.11,0.65,52.41,TN,C10,TN+C10,ABBA,7.035637033,0.131557418,0.018256948,0.585780765,0.009392463,0.000589433,62.36710591,993.8043397,15.93475158
TNNP North+C4,46,0.84436667,TN_C4_ABBA,1.04,0.068,0.71,0.07,0.65,52.69,TN,C4,TN+C4,ABBA,0.628314855,0.012401736,0.000810883,0.052312926,0.000885415,2.62E-05,59.08297657,1998.227463,33.82069724
TNNP North+C6,52,0.756500006,TN_C6_ABBA,0.82,0.088,0.5,0.14,0.44,52.64,TN,C6,TN+C6,ABBA,0.005694879,8.87E-05,9.52E-06,0.00047415,6.33E-06,3.07E-07,74.86339802,1542.619603,20.60579194
TNNP North+F1,61,0.796366692,TN_F1_ABBA,1.32,0.169,0.81,0.1,0.72,51.87,TN,F1,TN+F1,ABBA,0.092314445,0.00234924,0.000300774,0.007686017,0.000167723,9.71E-06,45.82577562,791.507767,17.27210847
TNNP North+F11,78,0.748666644,TN_F11_ABBA,1.14,0.113,0.62,0.08,0.42,52.05,TN,F11,TN+F11,ABBA,0.004086675,8.95E-05,8.87E-06,0.000340253,6.39E-06,2.86E-07,53.24555889,1187.867302,22.30922779
TNNP North+F13,76,0.750866652,TN_F13_ABBA,0.73,0.06,0.57,0.09,0.37,51.47,TN,F13,TN+F13,ABBA,0.017796918,0.000252414,2.07E-05,0.001481755,1.80E-05,6.70E-07,82.22404076,2212.221228,26.90479825
TNNP North+I6,52,0.866666675,TN_I6_ABBA,1.04,0.087,0.78,0.07,0.58,51.8,TN,I6,TN+I6,ABBA,0.150791674,0.003027478,0.00025326,0.012554778,0.000216145,8.18E-06,58.0849912,1535.451647,26.43456796
TNNP North+N7,61,0.773333311,TN_N7_ABBA,1.27,0.092,0.64,0.1,0.48,51.88,TN,N7,TN+N7,ABBA,0.529533086,0.012962741,0.000939033,0.044088445,0.000925467,3.03E-05,47.63912257,1454.245664,30.52628986
TNNP North+N9,71,0.770433307,TN_N9_ABBA,0.94,0.085,0.73,0.08,0.36,52.41,TN,N9,TN+N9,ABBA,2.129535382,0.0381943,0.00345374,0.177303187,0.002726859,0.000111505,65.02102531,1590.086943,24.45496569
Unicorn+A1,59,0.86953336,UNI_A1_ABBA ,0.79,0.056,0.6,0.07,0.48,52.55,UNI,A1,UNI+A1,ABBA,2.338451991,0.035154654,0.002491975,0.194697394,0.002509846,8.05E-05,77.57345534,2419.971943,31.19587664
Unicorn+A11,52,0.890133321,UNI_A11_ABBA ,0.86,0.073,0.51,0.09,0.69,52.58,UNI,A11,UNI+A11,ABBA,2.587043529,0.042313759,0.003591749,0.2153949,0.003020966,0.000115961,71.30001776,1857.476634,26.0515592
Unicorn+A13,44,0.816333354,UNI_A13_ABBA,1.39,0.13,0.92,0.09,0.31,52.39,UNI,A13,UNI+A13,ABBA,0.870790494,0.023103623,0.00216077,0.072501228,0.001649469,6.98E-05,43.95427345,1039.275487,23.6444697
Unicorn+A3,63,0.87803334,UNI_A3_ABBA,1.05,0.067,0.52,0.1,0.65,52.32,UNI,A3,UNI+A3,ABBA,0.22150153,0.004445272,0.000283651,0.018442017,0.000317368,9.16E-06,58.10934012,2013.810357,34.65553649
Unicorn+A5,63,0.844566643,UNI_A5_ABBA,1.29,0.126,0.91,0.09,0.3,52.18,UNI,A5,UNI+A5,ABBA,0.320477767,0.007922888,0.000773864,0.026682689,0.00056565,2.50E-05,47.17173737,1067.97028,22.6400455
Unicorn+A7,54,0.869066656,UNI_A7_ABBA,0.87,0.051,0.56,0.08,0.49,52.89,UNI,A7,UNI+A7,ABBA,0.053460101,0.000879378,5.15E-05,0.00445104,6.28E-05,1.66E-06,70.89601456,2674.41641,37.72308538
Unicorn+A9,53,0.861100018,UNI_A9_ABBA ,0.98,0.088,0.7,0.1,0.56,52.36,UNI,A9,UNI+A9,ABBA,1.24321223,0.023268678,0.002089432,0.103508724,0.001661253,6.75E-05,62.30760667,1534.41418,24.62643426
Unicorn+C12,63,0.873000026,UNI_C12_ABBA ,0.82,0.069,0.52,0.08,0.67,52.15,UNI,C12,UNI+C12,ABBA,1.413246593,0.022221711,0.001869876,0.117665631,0.001586506,6.04E-05,74.16653129,1949.085361,26.27985058
Unicorn+C14,56,0.865499973,UNI_C14_ABBA,0.82,0.058,0.52,0.1,0.47,52.41,UNI,C14,UNI+C14,ABBA,0.28882423,0.004518906,0.00031963,0.024047244,0.000322625,1.03E-05,74.53629731,2330.299831,31.26396018
Unicorn+C2,69,0.865866661,UNI_C2_ABBA,0.86,0.05,0.49,0.11,0.67,52.22,UNI,C2,UNI+C2,ABBA,0.326468619,0.005376542,0.00031259,0.027181481,0.000383855,1.01E-05,70.81184723,2693.348184,38.03527643
Unicorn+C6,78,0.852133334,UNI_C6_ABBA,0.62,0.053,0.28,0.12,0.6,53.25,UNI,C6,UNI+C6,ABBA,0.005632408,6.56E-05,5.61E-06,0.000468949,4.68E-06,1.81E-07,100.160257,2591.011735,25.86866102
Unicorn+C8,70,0.844500005,UNI_C8_ABBA,0.69,0.051,0.43,0.11,0.61,52.57,UNI,C8,UNI+C8,ABBA,1.573662605,0.020654883,0.001526665,0.131021723,0.001474643,4.93E-05,88.84978756,2658.235407,29.91830909
Unicorn+E1,83,0.819999993,UNI_E1_ABBA,0.74,0.044,0.45,0.07,0.47,52.11,UNI,E1,UNI+E1,ABBA,0.453544931,0.006440669,0.000382959,0.03776174,0.000459828,1.24E-05,82.12149763,3054.175818,37.19094154
Unicorn+F1,87,0.834766686,UNI_F1_ABBA ,0.71,0.056,0.43,0.11,0.67,52.87,UNI,F1,UNI+F1,ABBA,5.498640037,0.073842149,0.00582417,0.457811788,0.005271916,0.000188036,86.83973093,2434.708214,28.03680053
Unicorn+F11,79,0.840433359,UNI_F11_ABBA ,0.91,0.07,0.48,0.1,0.67,52.52,UNI,F11,UNI+F11,ABBA,0.290851688,0.005039509,0.000387655,0.024216048,0.000359793,1.25E-05,67.30554303,1934.872334,28.74759265
Unicorn+F13,75,0.77093333,UNI_F13_ABBA,0.75,0.059,0.46,0.08,0.55,52.45,UNI,F13,UNI+F13,ABBA,0.57881117,0.008276613,0.000651094,0.048191294,0.000590904,2.10E-05,81.55521493,2292.551595,28.11042306
Unicorn+F3,91,0.825066686,UNI_F3_ABBA,0.93,0.114,0.54,0.13,0.45,52.52,UNI,F3,UNI+F3,ABBA,0.09927249,0.001757872,0.000215481,0.008265338,0.000125502,6.96E-06,65.858112,1188.079504,18.03998729
Unicorn+F5,93,0.844099998,UNI_F5_ABBA,0.66,0.098,0.37,0.1,0.52,53.12,UNI,F5,UNI+F5,ABBA,0.027161944,0.000337479,5.01E-05,0.002261479,2.41E-05,1.62E-06,93.86023523,1397.840529,14.8927874
Unicorn+F7,90,0.82796669,UNI_F7_ABBA ,0.65,0.088,0.38,0.1,0.62,52.33,UNI,F7,UNI+F7,ABBA,0.024926547,0.000309617,4.19E-05,0.002075362,2.21E-05,1.35E-06,93.88687536,1533.535027,16.33385946
Unicorn+F9,79,0.840266645,UNI_F9_ABBA,0.75,0.052,0.39,0.13,0.76,51.95,UNI,F9,UNI+F9,ABBA,1.578969362,0.022795515,0.001580489,0.131463559,0.001627472,5.10E-05,80.77775817,2576.3677,31.89451847
Unicorn+G14,79,0.797299981,UNI_G14_ABBA,0.78,0.098,0.41,0.08,0.58,51.9,UNI,G14,UNI+G14,ABBA,0.075900177,0.001140696,0.000143318,0.00631938,8.14E-05,4.63E-06,77.59616585,1365.736511,17.60056693
Unicorn+I10,92,0.821166694,UNI_I10_ABBA ,0.76,0.045,0.41,0.08,0.86,51.92,UNI,I10,UNI+I10,ABBA,0.197790598,0.00289524,0.000171429,0.016467866,0.000206704,5.53E-06,79.6688593,2975.416778,37.34729986
Unicorn+I12,89,0.81946665,UNI_I12_ABBA ,0.94,0.058,0.52,0.1,0.58,52.75,UNI,I12,UNI+I12,ABBA,0.221559912,0.003948177,0.000243611,0.018446878,0.000281878,7.87E-06,65.44283696,2345.417212,35.83917386
Unicorn+I14,94,0.86680001,UNI_I14_ABBA,0.95,0.079,0.62,0.09,0.56,52.35,UNI,I14,UNI+I14,ABBA,0.192815895,0.003499047,0.000290973,0.016053677,0.000249812,9.39E-06,64.26293967,1708.894422,26.592223
Unicorn+I2,97,0.854233325,UNI_I2_ABBA,0.6,0.033,0.37,0.1,0.6,52.3,UNI,I2,UNI+I2,ABBA,0.118233059,0.001356402,7.46E-05,0.009843977,9.68E-05,2.41E-06,101.6524724,4087.082333,40.20642329
Unicorn+I4,102,0.840366662,UNI_I4_ABBA,0.8,0.037,0.41,0.08,0.68,52.55,UNI,I4,UNI+I4,ABBA,2.376926571,0.036185371,0.001673573,0.197900753,0.002583433,5.40E-05,76.60378714,3662.660239,47.81304391
Unicorn+I6,101,0.84646666,UNI_I6_ABBA,0.64,0.045,0.3,0.12,0.77,52.45,UNI,I6,UNI+I6,ABBA,0.012204901,0.000148925,1.05E-05,0.001016169,1.06E-05,3.38E-07,95.5725175,3005.789869,31.45035777
Unicorn+K1,108,0.860033333,UNI_K1_ABBA,0.88,0.054,0.43,0.1,0.77,53.17,UNI,K1,UNI+K1,ABBA,0.009957559,0.000164804,1.01E-05,0.000829057,1.18E-05,3.27E-07,70.46143694,2539.209522,36.03686828
Unicorn+L10,98,0.83403331,UNI_L10_ABBA,0.89,0.047,0.45,0.08,0.62,52.53,UNI,L10,UNI+L10,ABBA,2.512005791,0.042560159,0.002247559,0.209147326,0.003038557,7.26E-05,68.83113035,2882.273444,41.87456213
Unicorn+L12,99,0.828599989,UNI_L12_ABBA,0.62,0.05,0.38,0.09,0.89,52.38,UNI,L12,UNI+L12,ABBA,0.155177554,0.001836771,0.000148127,0.012919943,0.000131135,4.78E-06,98.52383587,2701.600495,27.42078068
Unicorn+L14,103,0.83586669,UNI_L14_ABBA ,0.67,0.049,0.33,0.1,0.66,52.1,UNI,L14,UNI+L14,ABBA,0.314847967,0.004048909,0.000296114,0.026213957,0.000289069,9.56E-06,90.68394985,2741.998929,30.23687139
Unicorn+L4,109,0.837933362,UNI_L4_ABBA ,0.73,0.053,0.38,0.11,0.77,52.94,UNI,L4,UNI+L4,ABBA,2.614766625,0.036055528,0.00261773,0.2177031,0.002574163,8.45E-05,84.5723862,2575.927911,30.45826217
Unicorn+L6,108,0.850000024,UNI_L6_ABBA,0.99,0.06,0.53,0.1,0.71,52.51,UNI,L6,UNI+L6,ABBA,0.004493686,8.47E-05,5.13E-06,0.00037414,6.05E-06,1.66E-07,61.85493163,2256.921249,36.48732914
Unicorn+L8,105,0.859200001,UNI_L8_ABBA,0.79,0.053,0.5,0.11,0.66,52.31,UNI,L8,UNI+L8,ABBA,0.584233933,0.008823261,0.00059194,0.048642788,0.000629931,1.91E-05,77.21917124,2545.273688,32.96168098
Unicorn+N1,115,0.835600019,UNI_N1_ABBA,0.85,0.064,0.43,0.14,0.95,52.55,UNI,N1,UNI+N1,ABBA,0.045264343,0.000732154,5.51E-05,0.003768668,5.23E-05,1.78E-06,72.09768202,2117.47545,29.36953576
Unicorn+N11,101,0.846333325,UNI_N11_ABBA,0.64,0.038,0.38,0.09,0.64,52.06,UNI,N11,UNI+N11,ABBA,0.769381993,0.009458403,0.000561593,0.064058048,0.000675277,1.81E-05,94.86187342,3533.020885,37.24384473
Unicorn+N13,103,0.804266691,UNI_N13_ABBA ,0.66,0.041,0.4,0.15,1.23,52.78,UNI,N13,UNI+N13,ABBA,5.171569523,0.064669115,0.004017324,0.430580193,0.004617013,0.000129701,93.25947318,3319.794237,35.59739428
Unicorn+N3,114,0.813899994,UNI_N3_ABBA ,0.83,0.066,0.35,0.12,0.86,53.11,UNI,N3,UNI+N3,ABBA,0.403323546,0.006303117,0.000501212,0.033580353,0.000450007,1.62E-05,74.62179928,2075.190657,27.80944278
Unicorn+N5,113,0.838833332,UNI_N5_ABBA ,0.81,0.043,0.41,0.08,0.51,53.6,UNI,N5,UNI+N5,ABBA,0.014673906,0.000221751,1.18E-05,0.001221736,1.58E-05,3.80E-07,77.16978287,3214.563222,41.65572459
Unicorn+N7,109,0.842433333,UNI_N7_ABBA,0.71,0.043,0.38,0.09,0.61,52.69,UNI,N7,UNI+N7,ABBA,0.017639625,0.000237695,1.44E-05,0.001468659,1.70E-05,4.65E-07,86.54407836,3159.987615,36.51304255
Unicorn+N9,104,0.864400029,UNI_N9_ABBA ,0.66,0.055,0.43,0.11,0.55,52.43,UNI,N9,UNI+N9,ABBA,0.004884799,6.15E-05,5.12E-06,0.000406704,4.39E-06,1.65E-07,92.64104166,2458.344857,26.53623937
Bloomfield+N1,77,0.76546669,BL_N1_ACRU,1.81,0.177,0.95,0.17,0.28,50.52,BL,N1,BL+N1,ACRU,0.16014883,0.005737715,0.000561092,0.013333847,0.000409641,1.81E-05,32.55009605,736.0642298,22.61327366
Bloomfield+N7,78,0.848100007,BL_N7_ACRU,2.05,0.11,0.84,0.19,0.78,50.03,BL,N7,BL+N7,ACRU,0.250931372,0.010282017,0.000551718,0.020892319,0.000734078,1.78E-05,28.46060641,1172.906668,41.21158387
Dunphys Pond+A1,45,0.815466642,DP_A1_ACRU,1.81,0.098,0.73,0.21,0.5,49.76,DP,A1,DP+A1,ACRU,0.50145706,0.018240299,0.000987596,0.04175086,0.001302255,3.19E-05,32.06042715,1309.422905,40.84234121
Dunphys Pond+A11,46,0.810400009,DP_A11_ACRU,1.67,0.094,0.63,0.2,0.44,50.65,DP,A11,DP+A11,ACRU,0.232116189,0.007653189,0.000430778,0.019325784,0.000546395,1.39E-05,35.3696275,1389.559775,39.28680829
Dunphys Pond+A13,50,0.812266648,DP_A13_ACRU,1.92,0.128,0.81,0.21,0.39,50.4,DP,A13,DP+A13,ACRU,0.091026727,0.003467685,0.000231179,0.007578803,0.000247573,7.46E-06,30.61236023,1015.421148,33.17029921
Dunphys Pond+A3,47,0.83859998,DP_A3_ACRU,1.95,0.099,0.72,0.24,0.48,51,DP,A3,DP+A3,ACRU,0.0651381,0.002490574,0.000126445,0.005423339,0.000177813,4.08E-06,30.50022704,1328.497125,43.55695856
Dunphys Pond+A5,50,0.820533335,DP_A5_ACRU ,1.63,0.073,0.64,0.18,0.6,51.08,DP,A5,DP+A5,ACRU,0.892902715,0.028493176,0.001276075,0.074342271,0.002034253,4.12E-05,36.54523776,1804.486619,49.37679244
Dunphys Pond+A7,49,0.79096669,DP_A7_ACRU,1.59,0.078,0.8,0.18,0.69,50.62,DP,A7,DP+A7,ACRU,1.001462355,0.031456443,0.001543146,0.083380848,0.002245814,4.98E-05,37.12722791,1673.605813,45.07758611
